Nº OCORRÊNCIA;DATA DO FATO;HORA DO FATO;TIPO OBJETO;ACAO OBJETO;GRUPO DE INCIDENTE;TIPO DE INCIDENTE;UF;MUNICIPIO;BAIRRO;LOGRADOURO;TIPO DE LOCAL;TIPO;MARCA;MODELO;COR VEICULO
53413145;10/01/2024;07:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;ILHA DOS AYRES;Sem Informacao;VIA PUBLICA;Sem Informacao (Tipo);XIAOMI;REDMI 7;Sem Informacao (Cor)
53413171;10/01/2024;15:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;GLORIA;RUA CRISTOVAO COLOMBO;RESIDENCIA;Sem Informacao (Tipo);MOTOROLA;MOTOROLA E;Sem Informacao (Cor)
53413475;10/01/2024;00:15:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;PRAIA DE ITAPARICA;AV. ESTUDANTE JOSE JULIO DE SOUZA;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;A52S;Sem Informacao (Cor)
53413646;10/01/2024;06:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM TRANSPORTE COLETIVO;ES;CARIACICA;ITACIBA;ROD GOVERNADOR JOSE SETTE;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;A13;Sem Informacao (Cor)
53414715;10/01/2024;16:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VIANA;CANAA;RUA SANTOS DUMONT;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;G10;Sem Informacao (Cor)
53414919;10/01/2024;17:40:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;PINHEIROS;ZONA RURAL;ROD WILLES JANTORNO;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;ONE HYPER;Sem Informacao (Cor)
53415448;10/01/2024;Indeterminada;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO;ES;MARILANDIA;CENTRO;RUA ALBERICO ALTOE;VIA PUBLICA;MOTOCICLETA;HONDA;CG 150 TITAN ESD;PRETO
53415938;10/01/2024;Indeterminada;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: EM VEICULO;ES;SERRA;SAO GERALDO;Sem Informacao;VEICULO;Sem Informacao (Tipo);XIAOMI;POCO X 3 PRO;Sem Informacao (Cor)
53415998;10/01/2024;20:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;CARIACICA;ROSA DA PENHA;RUA NAO CADASTRADA;VIA PUBLICA;Sem Informacao (Tipo);APPLE;IPHONE A 23;Sem Informacao (Cor)
53416071;10/01/2024;16:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: DE VEICULO;ES;VIANA;CANAA;RUA NAO CADASTRADA;VIA PUBLICA;Sem Informacao (Tipo);XIAOMI;POCO X5 PRO 5G;Sem Informacao (Cor)
53416071;10/01/2024;16:00:00;VEICULO;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: DE VEICULO;ES;VIANA;CANAA;RUA NAO CADASTRADA;VIA PUBLICA;MOTOCICLETA;HONDA;CBX 250 TWISTER;VERMELHO
53416313;10/01/2024;Indeterminada;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO: CICLOMOTOR;ES;SERRA;NOVO HORIZONTE;RUA CISNE;VIA PUBLICA;MOTOCICLETA;HONDA;XRE 300;CINZA
53416477;10/01/2024;23:03:00;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM RESIDENCIA/CONDOMINIO;ES;DOMINGOS MARTINS;ZONA RURAL;NAO INFORMADA;RESIDENCIA;MOTOCICLETA;HONDA;CG 150 TITAN KS;PRETO
53416599;10/01/2024;19:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;CRISTOVAO COLOMBO;AV AMERICA;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;A13;Sem Informacao (Cor)
53416743;10/01/2024;21:20:00;BICICLETA;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;IBES;AV CARLOS LINDENBERG;VIA PUBLICA;Sem Informacao (Tipo);SOUTH LEGEND;FEMININO;Sem Informacao (Cor)
53416743;10/01/2024;21:20:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;IBES;AV CARLOS LINDENBERG;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;A 22;Sem Informacao (Cor)
53416781;10/01/2024;20:15:00;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO: CICLOMOTOR;ES;SERRA;COLINA DE LARANJEIRAS;ROD. GOV. MARIO COVAS;COMERCIO;MOTOCICLETA;HONDA;XRE 300;CINZA
53417420;10/01/2024;19:30:00;BICICLETA;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;LINHARES;SHELL;AV. PREFEITO SAMUEL BATISTA CRUZ;COMERCIO;Sem Informacao (Tipo);TRACK; Track Troy 29 Mountain Bike Aro 29;Sem Informacao (Cor)
53418016;10/01/2024;Indeterminada;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO;ES;BARRA DE SAO FRANCISCO;BAIRRO VILA LANDINHA;RUA GRACIANO NEVES;RESIDENCIA;MOTOCICLETA;HONDA;CG 150 TITAN KS;PRETO
53418121;10/01/2024;13:10:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: EM TRANSPORTE COLETIVO;ES;SERRA;JARDIM LIMOEIRO;Sem Informacao;VIA PUBLICA;Sem Informacao (Tipo);APPLE;IPHONE;Sem Informacao (Cor)
53418156;10/01/2024;16:30:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;SERRA;BARCELONA;AVENIDA REGIAO SUL;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;Sem Informacao (Modelo);Sem Informacao (Cor)
53418163;10/01/2024;18:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;SERRA;JARDIM LIMOEIRO;RUA;VIA PUBLICA;Sem Informacao (Tipo);APPLE;IPHONE;Sem Informacao (Cor)
53418177;10/01/2024;16:35:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO;ES;SERRA;SAO GERALDO;RODOVIA GOVERNADOR MARIO COVAS;RODOVIA FEDERAL;Sem Informacao (Tipo);MOTOROLA;G7;Sem Informacao (Cor)
53418210;10/01/2024;19:22:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;SERRA;PARQUE RESIDENCIAL LARANJEIRAS;RUA ALVARES CABRAL;RESIDENCIA;Sem Informacao (Tipo);SAMSUNG;A21S;Sem Informacao (Cor)
53418357;10/01/2024;22:40:00;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO: CICLOMOTOR;ES;VILA VELHA;COQUEIRAL DE ITAPARICA;Sem Informacao;VIA PUBLICA;CICLOMOTOR;TRAXX;TRAXX - OUTROS;VERMELHO
53418429;10/01/2024;13:20:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;CARIACICA;APARECIDA;RUA DO VIADUTO;VIA PUBLICA;Sem Informacao (Tipo);XIAOMI;REDIMI 8;Sem Informacao (Cor)
53418591;10/01/2024;22:15:00;BICICLETA;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;VITORIA;BENTO FERREIRA;RUA CARLOS ALVES;RESIDENCIA;Sem Informacao (Tipo);caloi;29 explore;Sem Informacao (Cor)
53418781;10/01/2024;12:30:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;CARIACICA;CAMPO GRANDE;TERMINAL DE CAMPO GRANDE;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;E 06;Sem Informacao (Cor)
53418810;10/01/2024;09:02:00;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO: CICLOMOTOR;ES;VILA VELHA;PRAIA DE ITAPARICA;RUA ATRAS DO SHOPPING;COMERCIO;CICLOMOTOR;SHINERAY;JET 50CC;PRETO
53418815;10/01/2024;Indeterminada;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO;ES;JAGUARE;CORREGO CAXIMBAU;Sem Informacao;OUTRO LOCAL;Sem Informacao (Tipo);MOTOROLA;MOTO E 22;Sem Informacao (Cor)
53419494;10/01/2024;16:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;SERRA;BARCELONA;TV. CACERES;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;GALAXY A04E;Sem Informacao (Cor)
53419845;10/01/2024;20:40:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;COBILANDIA;RUA CAFESOPOLIS;VIA PUBLICA;Sem Informacao (Tipo);XIAOMI;REDMI NOTE 10S;Sem Informacao (Cor)
53419853;10/01/2024;20:40:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;COBILANDIA;RUA CAFESOPOLIS;VIA PUBLICA;Sem Informacao (Tipo);XIAOMI;Sem Informacao (Modelo);Sem Informacao (Cor)
53420346;10/01/2024;Indeterminada;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO: CICLOMOTOR;ES;VIANA;MARCILIO DE NORONHA;AV SAO PAULO;VIA PUBLICA;MOTOCICLETA;HONDA;CG 125 FAN KS;PRETO
53420542;10/01/2024;05:45:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;CACHOEIRO DE ITAPEMIRIM;CENTRO;Sem Informacao;VIA PUBLICA;Sem Informacao (Tipo);OUTROS;Sem Informacao (Modelo);Sem Informacao (Cor)
53420574;10/01/2024;14:10:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;CARIACICA;CAMPO GRANDE;Sem Informacao;VIA PUBLICA;Sem Informacao (Tipo);XIAOMI;REDMI NOTE 9 PRO;Sem Informacao (Cor)
53420615;10/01/2024;14:10:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM TRANSPORTE COLETIVO;ES;CARIACICA;CAMPO GRANDE;Sem Informacao;VIA PUBLICA;Sem Informacao (Tipo);XIAOMI;REDMI NOTE 9 PRO;Sem Informacao (Cor)
53420637;10/01/2024;14:20:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM TRANSPORTE COLETIVO;ES;CARIACICA;CAMPO GRANDE;AVENIDA EXPEDIDO GARCIA;VEICULO;Sem Informacao (Tipo);XIAOMI;ANDROID XIAOMI 10S;Sem Informacao (Cor)
53420697;10/01/2024;12:30:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM TRANSPORTE COLETIVO;ES;CARIACICA;CRUZEIRO DO SUL;Sem Informacao;RODOVIA FEDERAL;Sem Informacao (Tipo);MOTOROLA;MOTO G 42;Sem Informacao (Cor)
53420777;10/01/2024;20:30:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM ESTABELECIMENTO COMERCIAL;ES;SAO MATEUS;CARAPINA;RUA JOAO PINTO BANDEIRA;GINASIO;Sem Informacao (Tipo);MOTOROLA;MOTO G 52;Sem Informacao (Cor)
53421125;10/01/2024;Indeterminada;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO: CICLOMOTOR;ES;VITORIA;JARDIM DA PENHA;AV DANTE MICHELINE;VIA PUBLICA;MOTOCICLETA;HONDA;CG 160 TITAN;VERMELHO
53421273;10/01/2024;20:30:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;GLORIA;RODOVIA CARLOS LINDERBERG;RODOVIA ESTADUAL;Sem Informacao (Tipo);APPLE;IPHONE 14;Sem Informacao (Cor)
53421352;10/01/2024;20:30:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;GLORIA;Sem Informacao;RODOVIA ESTADUAL;Sem Informacao (Tipo);APPLE;IPHONE 14;Sem Informacao (Cor)
53422153;10/01/2024;08:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: A PESSOA EM VIA PUBLICA;ES;VITORIA;JARDIM CAMBURI;ROD. NORTE E SUL;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;MOTO G;Sem Informacao (Cor)
53422434;10/01/2024;19:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VITORIA;JOANA DARC;RUA MIGUEL ARCANJO MOREIRA;VIA PUBLICA;Sem Informacao (Tipo);XIAOMI;REDMI;Sem Informacao (Cor)
53422712;10/01/2024;23:30:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;SERRA;PARQUE RESIDENCIAL LARANJEIRAS;Sem Informacao;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;GALAX J7;Sem Informacao (Cor)
53427498;10/01/2024;23:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM RESIDENCIA/CONDOMINIO;ES;CARIACICA;ITAPEMIRIM;RUA RONDONIA;RESIDENCIA;Sem Informacao (Tipo);SAMSUNG;Sem Informacao (Modelo);Sem Informacao (Cor)
53427851;10/01/2024;19:10:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO;ES;VITORIA;FORTE SAO JOAO;Sem Informacao;VEICULO;Sem Informacao (Tipo);APPLE;IPHONE 13;Sem Informacao (Cor)
53428068;10/01/2024;20:10:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VITORIA;ENSEADA DO SUA;AVENIDA AMERICO BUAIZ;COMERCIO;Sem Informacao (Tipo);SAMSUNG;SM-A546E/DS;Sem Informacao (Cor)
53428126;10/01/2024;15:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;VITORIA;SANTA LUIZA;AV NOSSA SENHORA DA PENHA;COMERCIO;Sem Informacao (Tipo);MOTOROLA;Sem Informacao (Modelo);Sem Informacao (Cor)
53428233;10/01/2024;20:10:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: EM TRANSPORTE COLETIVO;ES;SERRA;NOVA CARAPINA I;BR-101;RODOVIA FEDERAL;Sem Informacao (Tipo);SAMSUNG;SM-536E/DS;Sem Informacao (Cor)
53429404;10/01/2024;21:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;SERRA;PARQUE JACARAIPE;PROXIMO A ESCOLA DE SURF;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;GALAXY J7;Sem Informacao (Cor)
53429493;10/01/2024;14:30:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;VILA VELHA;CENTRO VILA VELHA;AV. LUCIANO DAS NEVES;COMERCIO;Sem Informacao (Tipo);XIAOMI;REDMI 9A;Sem Informacao (Cor)
53431596;10/01/2024;18:00:00;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM VEICULO;ES;AFONSO CLAUDIO;GRAMA;AV INACIO LAMAS;RESIDENCIA;MOTONETA;HONDA;BIZ 125 ES;PRETO
53432176;10/01/2024;00:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: AMEACA;ES;VIANA;CANAA;RUA CENTRAL;VIA PUBLICA;Sem Informacao (Tipo);XIAOMI;REDMI 12;Sem Informacao (Cor)
53467308;10/01/2024;05:30:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;CARIACICA;ITAQUARI;AVENIDA VALE RIO DOCE;VIA PUBLICA;Sem Informacao (Tipo);XIAOMI;POCO M4 5G;Sem Informacao (Cor)
53469694;10/01/2024;20:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;SERRA;JARDIM LIMOEIRO;RUA BELO HORIZONTE II;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;A32 5G;Sem Informacao (Cor)
53477340;10/01/2024;16:20:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;PIUMA;PRAIA DE ACAIACA;Sem Informacao;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;J5;Sem Informacao (Cor)
53477596;10/01/2024;13:45:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: C RESTRICAO DE LIBERDADE DA VITIMA;ES;CARIACICA;CAMPO GRANDE;RUA BOLIVAR DE ABREU;VIA PUBLICA;Sem Informacao (Tipo);APPLE;IPHONE 13;Sem Informacao (Cor)
53479656;10/01/2024;19:00:00;BICICLETA;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;GUARAPARI;SANTA MONICA;AV ALDEBARAM;RESIDENCIA;Sem Informacao (Tipo);Monark;FEMININA;Sem Informacao (Cor)
53481060;10/01/2024;18:30:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;SAO MATEUS;GURIRI;AV PRAIANO;COMERCIO;Sem Informacao (Tipo);LG;Sem Informacao (Modelo);Sem Informacao (Cor)
53499498;10/01/2024;04:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO;ES;LINHARES;SANTA CRUZ;RUA FABRIZIO BARBOSA GONCALVES;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;MOTO G 22;Sem Informacao (Cor)
53526591;10/01/2024;Indeterminada;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO: AUTOMOTOR;ES;VITORIA;PRAIA DO CANTO;RUA CHAPOT PRESVOT;VIA PUBLICA;CAMINHONETE;HYUNDAI;HR HDB;FANTASIA
53542230;10/01/2024;20:33:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: EM VEICULO;ES;SERRA;NOVA CARAPINA I;BR 101 PONTO DE NOVA CARAPINA SENTIDO TERMINAL-SERRA;VEICULO;Sem Informacao (Tipo);OUTROS;Sem Informacao (Modelo);Sem Informacao (Cor)
53563166;10/01/2024;14:40:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO;ES;CARIACICA;CAMPO GRANDE;Sem Informacao;COMERCIO;Sem Informacao (Tipo);SAMSUNG;A 50;Sem Informacao (Cor)
53666235;10/01/2024;Indeterminada;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO: CICLOMOTOR;ES;SERRA;JARDIM LIMOEIRO;RUA NELCY LOPES VIEIRA;VEICULO;MOTOCICLETA;MOTTUS;MOTTOCA SX;PRETO
53760339;10/01/2024;03:00:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;SAO TORQUATO;Sem Informacao;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;Sem Informacao (Modelo);Sem Informacao (Cor)
54169059;10/01/2024;Indeterminada;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA DIGNIDADE  SEXUAL;CRIMES CONTRA DIGNIDADE  SEXUAL: ESTUPRO;ES;MARATAIZES;BELO HORIZONTE;RUA KEILA ESPERANDI;RESIDENCIA;Sem Informacao (Tipo);OUTROS;PHILCO HIT P8;Sem Informacao (Cor)
53417114;11/01/2024;01:23:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;MUQUI;CENTRO;RUA DR POTY FORMEL;VIA PUBLICA;Sem Informacao (Tipo);XIAOMI;REDMI;Sem Informacao (Cor)
53417114;11/01/2024;01:23:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;MUQUI;CENTRO;RUA DR POTY FORMEL;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;Sem Informacao (Modelo);Sem Informacao (Cor)
53417449;11/01/2024;02:20:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;GUARANHUNS;ROD LESTE OESTE;VIA PUBLICA;Sem Informacao (Tipo);MOTOROLA;G52;Sem Informacao (Cor)
53417678;11/01/2024;06:40:00;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO: CICLOMOTOR;ES;BARRA DE SAO FRANCISCO;CENTRO;RUA ELIZEU DIVINO;VIA PUBLICA;MOTOCICLETA;HONDA;CG 125 TITAN KS;VERDE
53417933;11/01/2024;05:35:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;CARIACICA;NOVO HORIZONTE;AV BRASIL;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;A12;Sem Informacao (Cor)
53418302;11/01/2024;07:00:00;VEICULO;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: DE VEICULO;ES;CACHOEIRO DE ITAPEMIRIM;DOUTOR GILSON CARONE;AVENIDA TEODORICO FERRACO;VIA PUBLICA;MOTONETA;HONDA;BIZ 125 ES;PRETO
53418349;11/01/2024;05:30:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VILA VELHA;JARDIM ASTECA;AV VITORIA REGIA;VIA PUBLICA;Sem Informacao (Tipo);APPLE;XR;Sem Informacao (Cor)
53418437;11/01/2024;06:00:00;APARELHOS TELEFONICOS;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: EM RESIDENCIA/CONDOMINIO;ES;VITORIA;ILHA DO PRINCIPE;RUA PRINCIPAL;VIA PUBLICA;Sem Informacao (Tipo);LG;K 9;Sem Informacao (Cor)
53418888;11/01/2024;04:35:00;APARELHOS TELEFONICOS;ROUBADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: ROUBO: A PESSOA EM VIA PUBLICA;ES;VIANA;VILA BETHANIA;Sem Informacao;VIA PUBLICA;Sem Informacao (Tipo);SAMSUNG;K22;Sem Informacao (Cor)
53419020;11/01/2024;06:00:00;VEICULO;FURTADO;CRIMES CONTRA PATRIMONIO;CRIMES CONTRA PATRIMONIO: FURTO: DE VEICULO: CICLOMOTOR;ES;VILA VELHA;NOSSA SENHORA DA PENHA;RUA C QUADRA 3 CASA 27;VIA PUBLICA;MOTOCICLETA;MOTTUS;MOTTOCA CGO;PRETO
